parts,proc,threads,accel
1000,1,1,0.584572
1000,1,2,0.224677
1000,1,3,0.173575
1000,1,4,0.157806
1000,1,5,0.131484
1000,1,6,0.11626
1000,1,7,0.0959067
1000,1,8,0.0944313
1000,2,1,0.411712
1000,2,2,0.16637
1000,2,3,0.140247
1000,2,4,0.120315
1000,2,5,0.105691
1000,2,6,0.100883
1000,2,7,0.0858577
1000,2,8,0.0817922
1000,3,1,0.457919
1000,3,2,0.148838
1000,3,3,0.0141393
1000,3,4,0.0139899
1000,3,5,0.0308953
1000,3,6,0.0126675
1000,3,7,0.0125787
1000,3,8,0.0130854
1000,4,1,0.00320928
1000,4,2,0.00348033
1000,4,3,0.00348003
1000,4,4,0.00318816
1000,4,5,0.00402753
1000,4,6,0.00456145
1000,4,7,0.00448408
1000,4,8,0.00458596
1000,5,1,0.00704879
1000,5,2,0.00613288
1000,5,3,0.00564123
1000,5,4,0.00673924
1000,5,5,0.00672707
1000,5,6,0.00600393
1000,5,7,0.0057854
1000,5,8,0.00525788
1000,6,1,0.00301293
1000,6,2,0.00332314
1000,6,3,0.00333803
1000,6,4,0.00256429
1000,6,5,0.00256375
1000,6,6,0.00316179
1000,6,7,0.00242662
1000,6,8,0.00261311
1000,7,1,0.00226071
1000,7,2,0.00222618
1000,7,3,0.00228127
1000,7,4,0.00253527
1000,7,5,0.00227202
1000,7,6,0.00244638
1000,7,7,0.0018897
1000,7,8,0.00185428
1000,8,1,0.00174574
1000,8,2,0.00177631
1000,8,3,0.00174473
1000,8,4,0.00172371
1000,8,5,0.0016789
1000,8,6,0.00165706
1000,8,7,0.00176627
1000,8,8,0.00131033
1000000,1,1,0.989489
1000000,1,2,0.588912
1000000,1,3,0.593302
1000000,1,4,0.58839
1000000,1,5,0.582075
1000000,1,6,0.590304
1000000,1,7,0.599469
1000000,1,8,0.582458
1000000,2,1,1.95612
1000000,2,2,1.18799
1000000,2,3,1.1599
1000000,2,4,1.17082
1000000,2,5,1.1694
1000000,2,6,1.17352
1000000,2,7,1.14727
1000000,2,8,1.17088
1000000,3,1,2.9361
1000000,3,2,3.3241
1000000,3,3,4.77565
1000000,3,4,4.25469
1000000,3,5,4.76819
1000000,3,6,5.31836
1000000,3,7,5.71447
1000000,3,8,5.79355
1000000,4,1,2.42248
1000000,4,2,2.5625
1000000,4,3,3.13655
1000000,4,4,2.17109
1000000,4,5,2.47638
1000000,4,6,2.58454
1000000,4,7,2.35887
1000000,4,8,2.70092
1000000,5,1,2.67413
1000000,5,2,2.97321
1000000,5,3,3.40798
1000000,5,4,2.84886
1000000,5,5,2.64125
1000000,5,6,3.17961
1000000,5,7,3.14549
1000000,5,8,2.08782
1000000,6,1,1.95025
1000000,6,2,2.08659
1000000,6,3,2.43996
1000000,6,4,2.02924
1000000,6,5,2.17356
1000000,6,6,2.2561
1000000,6,7,2.22525
1000000,6,8,1.85381
1000000,7,1,1.60972
1000000,7,2,1.72518
1000000,7,3,1.74631
1000000,7,4,1.5845
1000000,7,5,1.70664
1000000,7,6,1.61509
1000000,7,7,1.88372
1000000,7,8,1.52939
1000000,8,1,1.16093
1000000,8,2,1.20122
1000000,8,3,1.402
1000000,8,4,1.38905
1000000,8,5,1.45673
1000000,8,6,1.25209
1000000,8,7,1.39644
1000000,8,8,1.33625
100000000,1,1,1.02638
100000000,1,2,0.596825
100000000,1,3,0.589016
100000000,1,4,0.587825
100000000,1,5,0.582518
100000000,1,6,0.588028
100000000,1,7,0.581701
100000000,1,8,0.587556
100000000,2,1,1.95717
100000000,2,2,1.18455
100000000,2,3,1.17362
100000000,2,4,1.1738
100000000,2,5,1.17904
100000000,2,6,1.17139
100000000,2,7,1.17623
100000000,2,8,1.1762
100000000,3,1,2.96285
100000000,3,2,3.33397
100000000,3,3,4.94736
100000000,3,4,6.17318
100000000,3,5,7.78309
100000000,3,6,9.18182
100000000,3,7,10.6311
100000000,3,8,12.3438
100000000,4,1,3.94814
100000000,4,2,4.38564
100000000,4,3,6.59146
100000000,4,4,8.05044
100000000,4,5,10.0114
100000000,4,6,12.2269
100000000,4,7,13.909
100000000,4,8,15.6903
100000000,5,1,4.97383
100000000,5,2,5.52594
100000000,5,3,8.21898
100000000,5,4,10.0473
100000000,5,5,12.4393
100000000,5,6,15.1486
100000000,5,7,17.3203
100000000,5,8,19.7848
100000000,6,1,5.8007
100000000,6,2,6.60989
100000000,6,3,9.62716
100000000,6,4,12.9481
100000000,6,5,14.6303
100000000,6,6,17.5876
100000000,6,7,20.0102
100000000,6,8,22.7041
100000000,7,1,6.63979
100000000,7,2,7.48055
100000000,7,3,10.8888
100000000,7,4,13.5952
100000000,7,5,16.7483
100000000,7,6,19.4267
100000000,7,7,22.3533
100000000,7,8,24.8646
100000000,8,1,7.47294
100000000,8,2,8.4058
100000000,8,3,12.3314
100000000,8,4,15.1791
100000000,8,5,18.0701
100000000,8,6,21.8968
100000000,8,7,24.1137
100000000,8,8,27.562
